"Qty","Reference","Value","Datasheet","Footprint","DNP","Mfn","Mfn PN","Supplier","Supplier PN"
"1","C3","10u","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R60J106ME05-01A.pdf","Capacitor_SMD:C_0402_1005Metric","","Murata Electronics","GRM155R60J106ME05D","DigiKey","490-GRM155R60J106ME05DTR-ND"
"3","C1,C2,C4","0.1u","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Capacitor_SMD:C_0402_1005Metric","","Murata Electronics","GRM155R71C104KA88J","DigiKey","490-6328-2-ND"
"1","D1","LED","https://www.inolux-corp.com/datasheet/SMDLED/Mono%20Color%20Top%20View/IN-S42BT%20Series_V1.0.pdf","LED_SMD:LED_0402_1005Metric","","Inolux","IN-S42BTR","DigiKey","1830-IN-S42BTR-ND"
"1","J1","Serial Debugger","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","","","","",""
"1","J2","SNAP Programmer","~","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","","","","",""
"1","J3","Conn_01x11_Pin","~","Connector_PinSocket_2.54mm:PinSocket_1x11_P2.54mm_Vertical","","","","",""
"1","J5","Conn_01x08_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","","","","",""
"1","R2","10k","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","Resistor_SMD:R_0402_1005Metric","","YAGEO","RC0402JR-0710KL","DigiKey","311-10KJRTR-ND"
"2","R1,R3","1k","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","Resistor_SMD:R_0402_1005Metric","","YAGEO","RC0402JR-071KL","DigiKey","311-1.0KJRTR-ND"
"1","SW1","Reset","https://www.ckswitches.com/media/2779/pts636.pdf","pic32_breakout:SW_PTS636_CNK","","C&K","PTS636SM50JSMTR LFS","DigiKey","CKN12319-2-ND"
"1","U1","PIC32MX170F256B","https://www.digikey.com/en/models/4902616","pic32_breakout:QFN28_6X6MC_MCH","","Microchip Technology","PIC32MX170F256B-I/ML","DigiKey","PIC32MX170F256B-I/ML-ND"
